price_open,price_high,price_low,price_close
456.48,458.03,452.04,456.281
457.97,459.83,453.51,455.57
458.9,463.62,454.14,457.56
461.48,461.59,450.167,455.66
455.64,457.49,451,453.08
454.19,457.88,452,455.56
455.56,456.41,429,438.38
437.91,445.85,427.061,445.65
442.84,446.99,431.012,446.28
446.27,446.45,433.34,438.8
442.45,446.3,435.55,445.67
445.56,448.5,440.5,446.99
446.98,452.42,443.02,451.49
451.45,454.99,445.19,454.97
452.07,478.16,452.07,472.05
471.21,545,450.55,523.25
523.35,549.99,470,525.22
525.22,541,510.01,532.55
532.56,548.5,510.965,531.34
531.25,542.87,485.895,534.84
536.95,541.2,529.13,537.87
538.06,578.37,535.74,571.25
571.09,594.64,558.54,573.8
576.31,585,566,575.17
575.17,588.15,573.353,586.77
586.75,594.44,497.01,577.54
579.72,584.25,571.709,581.98
583.19,583.48,571.596,577.46
577.47,581.8,572,580.31
580.31,611,575.93,610
609.5,687.71,603,677.86
677.45,725,655.02,703.369
706.02,706.45,647.264,684.95
685.25,699.3,671.578,696
698.76,777.68,689.8,766.62
769.71,778.7,702,749.67
752,785.15,723.02,754.83
759,771.92,740.11,768.76
768.94,768.94,702.42,703.12
706.47,735,625,667.66
667.88,679.99,568.11,604.5
606.13,637.89,1.5,631.1
631.1,762.24,620.82,661.71
669.98,703.335,639.4,673.71
